income,age,party,trump_approval,education,robots,climate_change,transformers,science_is_honest,vaccines_are_safe,books,ghosts,fed_sci_budget,earth_sun,wise_unwise
144,43,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,Too Low,FALSE,Happy but Unwise
42,19,Independent,Somewhat disapprove,Some college,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,5,No,Too Low,TRUE,Wise but Unhappy
73,22,Republican,Neither approve nor disapprove,Graduate degree,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Disagree,0,No,Too High,TRUE,Wise but Unhappy
152,39,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,5,No,About Right,FALSE,Wise but Unhappy
72,65,Independent,Somewhat Approve,Some college,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,0,Yes,About Right,TRUE,Wise but Unhappy
112,35,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,8,Yes,Too Low,TRUE,Happy but Unwise
61,40,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,No,Too High,TRUE,Happy but Unwise
77,18,Democrat,Somewhat disapprove,Some college,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,25,No,About Right,FALSE,Wise but Unhappy
112,59,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,No,Too Low,FALSE,Happy but Unwise
71,58,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise but Unhappy
52,61,Independent,Somewhat disapprove,Some college,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,Yes,Too High,TRUE,Wise but Unhappy
22,64,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,No,About Right,TRUE,Wise but Unhappy
136,64,Republican,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Wise but Unhappy
167,65,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,No,Too Low,TRUE,Wise but Unhappy
76,60,Independent,Strongly Approve,Graduate degree,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,150,Yes,Too High,FALSE,Wise but Unhappy
32,60,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,No,About Right,TRUE,Wise but Unhappy
110,44,Republican,Somewhat Approve,College degree,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,3,No,About Right,TRUE,Happy but Unwise
80,22,Independent,Somewhat Approve,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,20,Yes,About Right,TRUE,Happy but Unwise
114,56,Independent,Strongly Approve,Graduate degree,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,2,No,About Right,FALSE,Wise but Unhappy
236,52,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,No,Too Low,FALSE,Wise but Unhappy
48,64,Democrat,Strongly disapprove,High school,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,About Right,TRUE,Wise but Unhappy
25,45,Democrat,Strongly disapprove,High school,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,2,Yes,Too Low,TRUE,Wise but Unhappy
143,52,Independent,Strongly Approve,Graduate degree,Likely,Real and Caused by People,5,Strongly Agree,Strongly Agree,20,No,Too Low,TRUE,Wise but Unhappy
17,63,Independent,Strongly disapprove,Some college,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,10,No,About Right,TRUE,Happy but Unwise
138,49,Democrat,Somewhat Approve,College degree,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise but Unhappy
100,19,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,Too Low,FALSE,Wise but Unhappy
104,70,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,60,Yes,Too Low,FALSE,Wise but Unhappy
85,60,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,50,No,Too High,TRUE,Wise but Unhappy
202,40,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,Too Low,FALSE,Wise but Unhappy
41,41,Independent,Neither approve nor disapprove,College degree,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,7,Yes,Too Low,TRUE,Wise but Unhappy
65,50,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,0,No,Too Low,TRUE,Happy but Unwise
147,64,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,3,No,Too Low,TRUE,Wise but Unhappy
19,83,Republican,Strongly Approve,High school,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,3,Yes,Too Low,TRUE,Happy but Unwise
97,53,Independent,Strongly Approve,College degree,Unlikely,Real and Caused by People,5,Strongly Disagree,Strongly Disagree,1,Yes,About Right,FALSE,Happy but Unwise
105,68,Independent,Strongly disapprove,Graduate degree,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Disagree,4,Yes,About Right,FALSE,Wise but Unhappy
132,60,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,6,No,About Right,TRUE,Wise but Unhappy
153,58,Republican,Strongly Approve,Graduate degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Disagree,10,Yes,About Right,TRUE,Happy but Unwise
17,53,Democrat,Somewhat disapprove,Some college,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Agree,2,No,Too Low,FALSE,Happy but Unwise
45,26,Independent,Somewhat disapprove,High school,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,3,No,About Right,FALSE,Happy but Unwise
35,58,Democrat,Strongly disapprove,High school,Likely,Not Real At All,0,Somewhat Agree,Strongly Disagree,0,Yes,Too High,FALSE,Wise but Unhappy
90,37,Independent,Strongly disapprove,College degree,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,120,No,Too Low,TRUE,Happy but Unwise
62,52,Independent,Strongly Approve,Graduate degree,Unlikely,Not Real At All,1,Somewhat Disagree,Strongly Agree,4,No,About Right,TRUE,Wise but Unhappy
71,56,Democrat,Strongly disapprove,High school,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Happy but Unwise
118,50,Republican,Strongly Approve,Some college,Unlikely,Not Real At All,4,Somewhat Disagree,Strongly Agree,0,No,Too High,FALSE,Happy but Unwise
159,47,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,4,Yes,Too Low,FALSE,Happy but Unwise
5,55,Republican,Strongly Approve,High school,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,5,Yes,Too Low,TRUE,Happy but Unwise
436,55,Independent,Somewhat disapprove,College degree,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,3,Yes,Too Low,TRUE,Happy but Unwise
97,61,Republican,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,Too Low,FALSE,Happy but Unwise
22,64,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,4,No,Too Low,FALSE,Happy but Unwise
19,54,Republican,Strongly Approve,Some college,Likely,Real and Caused by People,1,Somewhat Disagree,Strongly Disagree,15,Yes,Too Low,TRUE,Happy but Unwise
200,52,Democrat,Somewhat disapprove,Some college,Likely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,200,Yes,Too Low,FALSE,Wise but Unhappy
51,71,Republican,Strongly Approve,Some college,Unlikely,Real but not Caused by People,0,Strongly Disagree,Somewhat Disagree,16,Yes,Too High,FALSE,Wise but Unhappy
7,58,Republican,Strongly Approve,High school,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,3,No,Too High,TRUE,Wise but Unhappy
18,40,Democrat,Strongly disapprove,Some college,Unlikely,Not Real At All,1,Strongly Disagree,Strongly Disagree,100,No,Too High,TRUE,Happy but Unwise
56,59,Democrat,Strongly disapprove,High school,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise but Unhappy
140,42,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,225,No,Too Low,FALSE,Wise but Unhappy
31,38,Independent,Somewhat Approve,College degree,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,20,Yes,Too Low,TRUE,Wise but Unhappy
93,64,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,About Right,FALSE,Happy but Unwise
32,59,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,No,Too Low,FALSE,Wise but Unhappy
59,29,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,Too Low,FALSE,Happy but Unwise
150,65,Republican,Strongly disapprove,High school,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,2,No,Too High,TRUE,Happy but Unwise
132,52,Republican,Strongly Approve,Some college,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,2,Yes,Too Low,TRUE,Happy but Unwise
172,40,Republican,Strongly Approve,High school,Unlikely,Not Real At All,2,Strongly Disagree,Somewhat Agree,13,No,Too High,TRUE,Wise but Unhappy
25,52,Independent,Strongly disapprove,High school,Likely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,Too Low,TRUE,Happy but Unwise
31,56,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,Too Low,TRUE,Happy but Unwise
54,60,Republican,Somewhat Approve,High school,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,About Right,TRUE,Happy but Unwise
199,63,Democrat,Strongly disapprove,Graduate degree,Likely,Real but not Caused by People,1,Strongly Agree,Strongly Agree,12,No,Too Low,FALSE,Wise but Unhappy
55,59,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,Too Low,TRUE,Wise but Unhappy
44,56,Republican,Somewhat Approve,Graduate degree,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Disagree,20,No,Too High,FALSE,Wise but Unhappy
51,61,Republican,Strongly Approve,Some college,Unlikely,Real but not Caused by People,2,Neither Agree nor Disagree,Somewhat Agree,17,No,About Right,TRUE,Happy but Unwise
98,57,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,2,No,Too Low,FALSE,Wise but Unhappy
39,57,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,15,No,Too Low,TRUE,Wise but Unhappy
26,49,Independent,Somewhat Approve,College degree,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,0,No,About Right,FALSE,Happy but Unwise
70,72,Republican,Strongly Approve,High school,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,2,No,About Right,FALSE,Happy but Unwise
174,68,Democrat,Strongly disapprove,Graduate degree,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,About Right,TRUE,Happy but Unwise
122,60,Republican,Strongly Approve,Graduate degree,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,10,No,Too Low,FALSE,Happy but Unwise
163,63,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,30,No,About Right,FALSE,Happy but Unwise
74,46,Republican,Strongly Approve,Some college,Unlikely,Not Real At All,1,Somewhat Disagree,Strongly Agree,25,No,Too High,FALSE,Happy but Unwise
146,39,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,2,Somewhat Disagree,Somewhat Disagree,1000,Yes,Too High,TRUE,Wise but Unhappy
44,50,Independent,Somewhat Approve,High school,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,0,No,Too High,FALSE,Wise but Unhappy
124,88,Independent,Neither approve nor disapprove,College degree,Likely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,0,No,About Right,TRUE,Wise but Unhappy
101,31,Republican,Somewhat Approve,College degree,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,4,No,Too Low,FALSE,Happy but Unwise
176,45,Democrat,Neither approve nor disapprove,High school,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,FALSE,Wise but Unhappy
62,30,Democrat,Strongly Approve,High school,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,Yes,Too High,TRUE,Happy but Unwise
71,64,Republican,Strongly Approve,High school,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,20,No,About Right,TRUE,Wise but Unhappy
44,32,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,30,No,Too Low,TRUE,Wise but Unhappy
132,42,Independent,Strongly Approve,College degree,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,3,No,About Right,TRUE,Happy but Unwise
71,70,Independent,Strongly Approve,Some college,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,4,No,About Right,FALSE,Happy but Unwise
93,69,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise but Unhappy
48,51,Independent,Strongly Approve,Some college,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Wise but Unhappy
48,64,Independent,Strongly Approve,Some college,Unlikely,Not Real At All,0,Strongly Disagree,Neither Agree nor Disagree,3,Yes,Too High,TRUE,Wise but Unhappy
73,49,Republican,Strongly Approve,Graduate degree,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,3,No,About Right,TRUE,Happy but Unwise
79,34,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,3,Somewhat Disagree,Somewhat Agree,8,Yes,Too High,TRUE,Happy but Unwise
103,50,Republican,Neither approve nor disapprove,College degree,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,50,No,Too High,FALSE,Wise but Unhappy
169,65,Independent,Strongly Approve,Graduate degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,5,No,Too Low,TRUE,Wise but Unhappy
104,74,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,Too Low,TRUE,Wise but Unhappy
46,49,Republican,Strongly Approve,Some college,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,1,No,About Right,TRUE,Happy but Unwise
103,25,Republican,Strongly disapprove,Some college,Unlikely,Not Real At All,5,Somewhat Disagree,Somewhat Disagree,0,Yes,Too High,TRUE,Happy but Unwise
71,22,Democrat,Strongly disapprove,Graduate degree,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,40,No,About Right,FALSE,Wise but Unhappy
45,67,Democrat,Somewhat disapprove,High school,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,50,No,About Right,FALSE,Happy but Unwise
109,25,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Wise but Unhappy
135,76,Independent,Strongly disapprove,Other,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise but Unhappy
71,30,Independent,Somewhat Approve,Some college,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,0,No,About Right,FALSE,Happy but Unwise
144,21,Independent,Somewhat disapprove,College degree,Unlikely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,60,No,Too Low,TRUE,Wise but Unhappy
75,38,Republican,Strongly Approve,College degree,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,13,No,About Right,TRUE,Wise but Unhappy
100,59,Republican,Somewhat Approve,Graduate degree,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,3,Yes,About Right,FALSE,Happy but Unwise
90,52,Republican,Strongly Approve,High school,Unlikely,Not Real At All,3,Strongly Disagree,Strongly Agree,25,Yes,About Right,TRUE,Wise but Unhappy
74,21,Democrat,Strongly disapprove,Some college,Likely,Real and Caused by People,2,Neither Agree nor Disagree,Neither Agree nor Disagree,0,No,About Right,FALSE,Happy but Unwise
135,38,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise but Unhappy
126,53,Independent,Somewhat Approve,Some college,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,3,No,Too Low,FALSE,Wise but Unhappy
74,51,Independent,Somewhat disapprove,College degree,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,2,No,About Right,FALSE,Happy but Unwise
64,45,Independent,Neither approve nor disapprove,Some college,Unlikely,Not Real At All,0,Neither Agree nor Disagree,Strongly Agree,28,No,Too High,TRUE,Happy but Unwise
98,40,Democrat,Somewhat disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Happy but Unwise
83,70,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Disagree,1,No,About Right,TRUE,Wise but Unhappy
124,58,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise but Unhappy
92,42,Independent,Somewhat disapprove,College degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Happy but Unwise
92,36,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,3,Yes,Too High,FALSE,Wise but Unhappy
48,40,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,100,No,Too Low,TRUE,Happy but Unwise
74,24,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,10,Yes,Too Low,FALSE,Happy but Unwise
135,75,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,No,Too Low,FALSE,Wise but Unhappy
73,68,Republican,Somewhat Approve,Some college,Likely,Real but not Caused by People,0,Somewhat Agree,Strongly Disagree,250,No,About Right,TRUE,Happy but Unwise
132,57,Independent,Strongly Approve,College degree,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,4,No,About Right,FALSE,Happy but Unwise
48,64,Republican,Strongly Approve,Graduate degree,Unlikely,Not Real At All,3,Somewhat Agree,Somewhat Agree,0,Yes,About Right,FALSE,Wise but Unhappy
92,56,Independent,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,12,Yes,Too Low,FALSE,Wise but Unhappy
25,33,Democrat,Somewhat disapprove,Graduate degree,Unlikely,Real but not Caused by People,1,Neither Agree nor Disagree,Strongly Agree,12,No,About Right,TRUE,Happy but Unwise
22,40,Independent,Somewhat Approve,Some college,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,5,Yes,Too Low,TRUE,Happy but Unwise
57,57,Republican,Strongly Approve,Some college,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,56,Yes,Too High,FALSE,Happy but Unwise
170,63,Independent,Somewhat disapprove,College degree,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,3,No,About Right,TRUE,Wise but Unhappy
92,57,Independent,Somewhat Approve,Some college,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,52,No,Too Low,TRUE,Happy but Unwise
91,48,Independent,Somewhat Approve,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,12,Yes,About Right,FALSE,Wise but Unhappy
10,55,Independent,Neither approve nor disapprove,College degree,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,6,No,Too Low,TRUE,Happy but Unwise
48,60,Independent,Strongly Approve,Some college,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,40,Yes,Too High,TRUE,Wise but Unhappy
105,59,Independent,Strongly Approve,High school,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Happy but Unwise
52,51,Democrat,Strongly disapprove,Graduate degree,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,4,Yes,Too Low,TRUE,Wise but Unhappy
90,64,Republican,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,Yes,Too Low,TRUE,Wise but Unhappy
39,75,Democrat,Strongly disapprove,High school,Likely,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,0,No,Too High,TRUE,Happy but Unwise
120,53,Democrat,Strongly disapprove,High school,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,Yes,About Right,TRUE,Happy but Unwise
34,65,Republican,Strongly Approve,High school,Unlikely,Real but not Caused by People,1,Somewhat Disagree,Strongly Agree,0,No,Too High,TRUE,Happy but Unwise
180,40,Republican,Strongly Approve,College degree,Likely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,0,No,Too High,TRUE,Wise but Unhappy
150,45,Republican,Somewhat Approve,College degree,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,0,No,Too Low,TRUE,Happy but Unwise
164,26,Democrat,Strongly disapprove,High school,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,15,No,Too Low,FALSE,Wise but Unhappy
83,64,Independent,Somewhat Approve,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,About Right,TRUE,Happy but Unwise
386,36,Independent,Strongly Approve,Graduate degree,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,5,No,About Right,FALSE,Happy but Unwise
79,60,Independent,Strongly disapprove,Some college,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,3,Yes,About Right,TRUE,Happy but Unwise
32,64,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,No,Too Low,FALSE,Happy but Unwise
327,55,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,2,No,Too Low,TRUE,Wise but Unhappy
62,62,Republican,Strongly Approve,College degree,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,5,No,Too Low,TRUE,Wise but Unhappy
180,64,Republican,Somewhat Approve,Some college,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,1,Yes,About Right,TRUE,Happy but Unwise
70,49,Independent,Strongly disapprove,Some college,Unlikely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,0,Yes,About Right,TRUE,Happy but Unwise
103,58,Republican,Strongly Approve,Some college,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Disagree,50,Yes,About Right,TRUE,Wise but Unhappy
20,60,Republican,Strongly Approve,High school,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Happy but Unwise
57,47,Independent,Somewhat Approve,Graduate degree,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,No,Too Low,FALSE,Happy but Unwise
90,55,Republican,Strongly Approve,Graduate degree,Unlikely,Not Real At All,2,Somewhat Disagree,Somewhat Disagree,8,No,About Right,FALSE,Happy but Unwise
78,58,Democrat,Strongly disapprove,Other,Unlikely,Real and Caused by People,3,Strongly Disagree,Somewhat Agree,120,No,Too Low,FALSE,Wise but Unhappy
132,61,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,6,No,Too Low,FALSE,Wise but Unhappy
73,61,Republican,Neither approve nor disapprove,Graduate degree,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,20,No,Too High,FALSE,Wise but Unhappy
42,57,Republican,Somewhat Approve,Graduate degree,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,30,Yes,About Right,TRUE,Happy but Unwise
21,69,Democrat,Strongly disapprove,High school,Likely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Disagree,2,No,About Right,FALSE,Happy but Unwise
163,58,Independent,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,No,Too Low,TRUE,Wise but Unhappy
25,63,Independent,Strongly Approve,High school,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,4,Yes,Too Low,TRUE,Wise but Unhappy
92,66,Republican,Strongly Approve,High school,Likely,Not Real At All,3,Strongly Disagree,Strongly Disagree,2,Yes,Too High,TRUE,Happy but Unwise
88,44,Independent,Strongly disapprove,High school,Unlikely,Real but not Caused by People,5,Strongly Agree,Strongly Agree,0,Yes,Too Low,TRUE,Happy but Unwise
22,70,Independent,Somewhat Approve,Graduate degree,Unlikely,Not Real At All,0,Strongly Agree,Strongly Agree,6,No,About Right,TRUE,Wise but Unhappy
43,63,Democrat,Strongly disapprove,College degree,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,5,No,About Right,FALSE,Happy but Unwise
90,60,Republican,Strongly Approve,College degree,Unlikely,Not Real At All,2,Strongly Disagree,Somewhat Agree,15,No,About Right,TRUE,Wise but Unhappy
47,60,Independent,Strongly disapprove,High school,Unlikely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,6,Yes,Too Low,FALSE,Happy but Unwise
120,52,Independent,Somewhat Approve,Graduate degree,Unlikely,Real but not Caused by People,3,Strongly Disagree,Somewhat Agree,8,No,About Right,TRUE,Wise but Unhappy
10,38,Independent,Strongly Approve,High school,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,4,Yes,Too Low,TRUE,Happy but Unwise
10,61,Independent,Strongly disapprove,Some college,Likely,Real and Caused by People,4,Somewhat Disagree,Strongly Disagree,10,Yes,Too High,FALSE,Happy but Unwise
55,62,Independent,Strongly Approve,High school,Likely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,10,No,About Right,TRUE,Happy but Unwise
113,40,Independent,Strongly Approve,Graduate degree,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,0,No,About Right,FALSE,Happy but Unwise
137,40,Republican,Strongly Approve,College degree,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,15,Yes,About Right,FALSE,Wise but Unhappy
9,61,Republican,Somewhat Approve,College degree,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,25,Yes,Too Low,TRUE,Wise but Unhappy
37,68,Democrat,Strongly disapprove,High school,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,1,No,About Right,TRUE,Happy but Unwise
39,32,Democrat,Strongly disapprove,Some college,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,30,No,Too Low,FALSE,Happy but Unwise
